,class,name/encoded,s_name_1,s_name_2,s_name_3,s_name_4,s_name_5,s_name_6,s_name_7,s_name_8,s_name_9,s_name_10
9978,4990,hindole,haindaday,hindole,hindol,hindavi,hindurao,hinduja,hindupur,tandava,thandaveswaran,thandava
9979,Encode,HANDAL,HANDAD,HANDAL,HANDAL,HANDAV,HANDAR,HANDAJ,HANDAP,TANDAV,TANDAV,TANDAV
9980,4991,hindupur,haindaday,hindole,hindol,hindavi,hinduja,hindurao,hindupur,tandava,thandaveswaran,thandava
9981,Encode,HANDAP,HANDAD,HANDAL,HANDAL,HANDAV,HANDAJ,HANDAR,HANDAP,TANDAV,TANDAV,TANDAV
9982,4992,hindurao,haindaday,hindole,hindol,hindavi,hindurao,hinduja,hindupur,tandava,thandaveswaran,thandava
9983,Encode,HANDAR,HANDAD,HANDAL,HANDAL,HANDAV,HANDAR,HANDAJ,HANDAP,TANDAV,TANDAV,TANDAV
9984,4993,hindavi,haindaday,hindole,hindol,hindavi,hindurao,hinduja,hindupur,tandava,thandaveswaran,thandava
9985,Encode,HANDAV,HANDAD,HANDAL,HANDAL,HANDAV,HANDAR,HANDAJ,HANDAP,TANDAV,TANDAV,TANDAV
9986,4994,handge,handge,handa,honda,hundraj,huma,honesh,himesh,haani,henna,hanosh
9987,Encode,HANDG,HANDG,HAND,HAND,HANDRA,HAN,HAN,HAN,HAN,HAN,HAN
9988,4995,haeendra,hundraj,handa,honda,haeendra,handge,hemprasad,hemprakash,huma,honesh,himesh
9989,Encode,HANDR,HANDRA,HAND,HAND,HANDR,HANDG,HANPRA,HANPRA,HAN,HAN,HAN
9990,4996,hundraj,hundraj,haeendra,handa,honda,handge,hemprasad,hemprakash,huma,honesh,himesh
9991,Encode,HANDRA,HANDRA,HANDR,HAND,HAND,HANDG,HANPRA,HANPRA,HAN,HAN,HAN
9992,4997,hingolirah,himjal,hanzala,hansalee,hansal,hansel,hanzalah,haansel,himlal,hingolirah,hublal
9993,Encode,HANGAL,HANJAL,HANSAL,HANSAL,HANSAL,HANSAL,HANSAL,HANSAL,HANLAL,HANGAL,HABLAL
9994,4998,hingora,hemkiran,hingora,himgauri,hambirrao,hanspraksh,homyar,hemvardhan,hansaraj,hayder,hifzur
9995,Encode,HANGAR,HANCAR,HANGAR,HANGAR,HANBAR,HANSPR,HANYAR,HANVAR,HANSAR,HAYDAR,HAFSAR
9996,4999,hinjawadi,hemjit,hemlata,hemchand,hemkant,himkedar,himtej,himtaj,hinjawadi,hemchandra,hemkumar
9997,Encode,HANJAD,HANJAT,HANLAT,HANCAD,HANCAD,HANCAD,HANTAJ,HANTAJ,HANJAD,HANCAN,HANCAN
